,female_id,female_bdate,male_id,male_bdate
83,337848550,2002,483607434,
84,437849258,2003,186621869,
85,527832174,2004,369436701,
86,447882348,2004,431252348,
87,277855041,2004,165213546,
88,367915355,2003,374633461,
89,527874323,2005,234742075,
90,267852447,2002,200313006,
91,417889120,2002,247787443,
92,507876268,2002,422236699,
93,377867335,2002,571345609,
94,517852256,2005,512708297,
95,277783733,2004,144991307,
96,297788580,2003,437653097,
97,297758517,2003,518982333,
98,197770453,2004,237957181,
99,197730504,2002,417827139,
100,287774838,2003,222553771,
101,397816876,2002,119874067,
102,317797785,2003,177235189,
103,287804412,2002,476918867,
104,485020252,2003,480219671,
105,578007840,2005,573093265,
106,507993266,2003,195403730,
107,467669149,2005,224856561,
108,567996605,2005,567652839,
109,394524782,2004,573568716,
110,324516853,2003,345653704,
111,294474350,2004,548786244,
112,224474255,2003,253494304,
113,354492868,2002,178190795,
114,294473774,2004,579641580,
115,404516100,2004,522962935,
116,564473780,2005,285485203,
117,274451109,2003,218394480,
118,384500043,2002,484942241,
119,194449121,2004,287574051,
120,384502211,2004,319691231,
121,424499585,2002,157046155,
122,524461779,2004,524671218,
123,314456497,2002,460866897,
124,584529053,2004,305847533,
125,544423293,2004,400062806,
126,374416459,2003,210778346,
127,534398270,2004,380590402,
128,464066085,2005,521698832,
129,314385773,2003,272744281,
130,564388520,2004,541449722,
131,254373110,2002,536603216,
132,574400213,2003,337047427,
133,584456410,2005,584454414,
134,324519614,2002,210542004,
135,354499025,2002,324989786,
136,194469488,2004,468731451,
137,264478865,2002,282284504,
138,474514707,2004,316236507,
139,364542157,2003,477781075,
140,284498615,2003,138891184,
141,534497649,2002,305989540,
142,254461140,2002,380901748,
143,274459113,2005,445155114,
144,254416683,2002,184979807,
145,534434182,2002,468439901,
146,284434158,2002,350436712,
147,394458089,2003,267239810,
148,324456444,2002,207294271,
149,524434706,2005,435883997,
150,584493672,2004,543155361,
151,254409387,2002,237485249,
152,364468754,2003,507621943,
153,474438015,2003,305027415,
154,481646691,2003,535927713,
155,534422551,2005,423350717,
156,364455444,2005,400078851,
157,184381133,2003,245164687,
158,414429757,2005,156651052,
159,481634869,2003,534589532,
160,584478082,2006,566745706,
161,404432426,2005,240184572,
162,314393422,2003,484171599,
163,244485504,2002,129970915,
164,404542568,2004,577243764,
165,224488485,2003,214546587,
166,224493878,2002,445373184,
167,244483464,2004,210912486,
168,394534658,2002,476625173,
169,424522535,2005,535709572,
170,374525419,2002,293294193,
